Language	Tag acc	Mim acc	p
ta	0.84	0.83	0.197782
lv	0.89	0.86	0.000021
vi	0.91	0.91	0.912794
hu	0.94	0.94	0.131619
tr	0.93	0.91	0.000000
bg	0.98	0.97	0.000000
sv	0.96	0.96	0.000063
ru	0.96	0.96	0.001028
da	0.95	0.93	0.000059
fa	0.97	0.97	0.041765
he	0.97	0.96	0.002235
en	0.94	0.92	0.000000
hi	0.97	0.96	0.007480
it	0.98	0.98	0.002480
es	0.94	0.94	0.068951
cs	0.98	0.97	0.000000
