ta	84.11	82.96	0.1302
lv	89.55	87.95	0.0001
vi	90.50	90.34	0.5171
hu	94.07	93.88	0.5020
tr	93.11	91.82	0.0000
bg	97.95	97.29	0.0000
sv	96.69	96.27	0.0001
ru	95.98	95.21	0.0000
da	96.13	95.04	0.0000
fa	97.20	97.03	0.0338
he	96.59	96.15	0.0003
en	94.90	94.04	0.0000
hi	96.64	96.45	0.0034
it	97.76	97.47	0.0027
es	95.08	94.84	0.1146
cs	98.18	97.62	0.0000
