Language	Tag acc	Mim acc	p
ta	84.97	81.55	0.000007
lv	84.49	84.32	0.693282
vi	84.85	84.22	0.019522
hu	85.83	88.93	0.000000
tr	84.23	85.60	0.000001
bg	93.03	93.16	0.456397
sv	92.27	92.30	0.841654
ru	88.65	89.72	0.000027
da	89.96	90.13	0.570061
fa	93.53	93.58	0.639667
he	91.93	91.69	0.165363
en	88.89	88.45	0.001642
hi	87.92	87.77	0.312064
it	92.45	92.50	0.770229
es	91.71	91.41	0.148562
cs	90.17	90.81	0.000000
