fa	96.77	97.20	97.03*	97.16
hi	96.30*	96.55	95.86	96.45
en	93.39	94.90	94.04*	94.70*
es	94.68	95.08	94.84	95.05
it	97.22	97.76	97.47*	97.69
da	94.14	96.13	95.04*	96.02
he	95.65	96.59*	96.15*	96.37
sv	95.26	96.69	96.27*	96.87*
bg	96.63	97.95	97.29*	97.78
cs	96.34	97.70*	97.62*	97.57
lv	85.77	89.55	87.95*	89.99
hu	91.52	94.07	93.88*	93.74
tr	90.19	93.11*	91.82*	92.68
ta	80.44	84.11	82.96*	84.46
ru	92.59	95.98	95.21*	95.84
vi	89.94	90.50	90.34	90.19
