fa	82.72	87.21	85.08*	86.30
hi	77.02*	80.87*	72.80	78.00
en	68.84	82.69*	74.65*	79.72
es	78.07	79.79	75.99	77.37
it	84.85	90.91	87.56	89.95
da	79.37	90.50*	83.52*	87.88
he	81.13	88.60	85.96*	87.77
sv	83.87	91.71	89.40*	92.13
bg	85.48	92.06	87.60	90.92
cs	70.69	91.89*	86.02*	89.79
lv	67.28	77.85	73.28*	79.28
hu	81.34	89.25	88.96*	88.89
tr	75.60	86.16	80.79*	84.71
ta	66.99	73.37	69.08	74.72
ru	80.51	91.22*	88.93*	90.01
vi	63.62	67.22	65.57	66.92
