Language	Tag F1	Mim F1	p
ta	84.55	81.93	0.000000
lv	76.11	66.61	0.000000
vi	0.00	0.00	0.000000
hu	86.43	80.64	0.000000
tr	91.51	83.32	0.000000
bg	96.12	93.48	0.000000
sv	96.37	94.20	0.000000
ru	93.54	91.24	0.000000
da	96.05	94.14	0.000000
fa	96.90	95.55	0.000000
he	93.35	90.99	0.000000
en	96.40	95.59	0.000000
hi	96.59	96.21	0.000000
it	98.18	97.80	0.000000
es	96.21	95.44	0.000000
cs	95.29	93.71	0.000000
