Language	Tag acc	Mim acc	p
ta	0.85	0.82	0.000215
lv	0.84	0.82	0.124526
vi	0.85	0.84	0.071823
hu	0.86	0.89	0.000000
tr	0.85	0.85	0.292073
bg	0.92	0.92	0.391352
sv	0.92	0.92	0.187808
ru	0.90	0.90	0.016294
da	0.89	0.88	0.203118
fa	0.94	0.93	0.889997
he	0.92	0.91	0.205063
en	0.86	0.85	0.041601
hi	0.88	0.88	0.057696
it	0.92	0.92	0.962346
es	0.91	0.90	0.235246
cs	0.90	0.90	0.000058
